label,text
fake,Contact  via  WhatsApp  only  +94741039289.  Pay  Rs  1000  registration  fee  to  start  work  from  home.  Fill  the  form:  https://bit.ly/x2n8lytg2o.  Make  Rs  20000  per  hour  no  experience  needed
fake,JOIN NOW: HTTPS://BIT.LY/GOTICWV. TRAINING FEE RS 2500 MANDATORY FOR ONBOARDING. MAKE RS 20000 PER HOUR NO EXPERIENCE NEEDED
fake,APPLY HERE: HTTPS://SHORT.GY/ZFBZ0R. CHAT ON WHATSAPP +94756591945 NOW TO CLAIM YOUR SPOT. GUARANTEED INCOME RS 10000 WEEKLY. PAY RS 2500 REGISTRATION FEE TO START WORK FROM HOME
real,"Data Analyst — Remote. Hands-on with VLANs, routing protocols, IPv6 and firewalls. Salary: Rs 150000 - Rs 380000 (based on experience). BSc in Computer Science or equivalent experience. Conduct usability tests and iterate on feedback. Flexible hours, EPF/ETF and transport allowance. Email your CV to talent@oceanic.com with subject 'Data Analyst - Remote'"
fake,Rs 5000 for liking and commenting posts. Training fee Rs 1000 mandatory for onboarding. No resume required. Join now: https://t.co/8gct3m9gx. Chat on WhatsApp +94786089330 now to claim your spot
real,"Network Engineer — Galle. Experience with React, Next.js and TypeScript. BSc in Information Systems or related field. Conduct usability tests and iterate on feedback. Career growth and mentorship programs. Email your CV to hr@oceanic.com with subject 'Network Engineer - Galle'"
fake,DM us on Telegram @plpgsxby to proceed. Training happens on WhatsApp group. Make Rs 7500 per hour no experience needed. Join now: https://short.gy/3cd24d0uxf
real,"HR Assistant — Colombo. Familiar with Figma, design systems and accessibility. Salary: Rs 250000 - Rs 320000 (based on experience). BSc in Information Systems or related field. Maintain network infrastructure and documentation. Hybrid work, learning budget and annual bonus. Submit application through our ATS: https://careers.mas.lk/jobs/8121"
fake,Earn  Rs  50000/day  for  simple  copy  paste  work.  Training  fee  Rs  5000  mandatory  for  onboarding.  Training  happens  on  WhatsApp  group
fake,Rs 20000 for liking and commenting posts. Training happens on WhatsApp group. Training fee Rs 500 mandatory for onboarding. Register now: https://tinyurl.com/nvvubi9z
fake,Apply here: https://t.co/2qargrae. Immediate joining today only. Payment via USDT or Bitcoin only. Processing fee of Rs 500 refundable after first month
real,"Operations Manager — Hybrid-Colombo. Knowledge of Linux, Docker and CI/CD pipelines. Salary: Rs 150000 - Rs 220000 (based on experience). HND or equivalent diploma acceptable with experience. Design, implement and maintain scalable services. Competitive salary and health insurance. Submit application through our ATS: https://careers.acme.lk/jobs/3289"
real,"HR Assistant — Kandy. Experience with React, Next.js and TypeScript. Salary: Rs 250000 - Rs 380000 (based on experience). HND or equivalent diploma acceptable with experience. Analyze datasets and produce actionable insights. Flexible hours, EPF/ETF and transport allowance. Email your CV to recruitment@mas.lk with subject 'HR Assistant - Kandy'"
real,"HR Assistant — Kurunegala. Strong in Python, SQL and data visualization (Power BI/Tableau). Salary: Rs 250000 - Rs 320000 (based on experience). BSc in Computer Science or equivalent experience. Conduct usability tests and iterate on feedback. Competitive salary and health insurance. Apply via company website: https://careers.techwave.io/jobs/8874"
fake,Make Rs 50000 per hour no experience needed. Training fee Rs 2500 mandatory for onboarding. Join now: https://short.gy/qhj9zu0
fake,No interview required. Training fee Rs 7500 mandatory for onboarding. Chat on WhatsApp +94779873140 now to claim your spot
fake,Contact via WhatsApp only +94720618869. Processing fee of Rs 3500 refundable after first month. Make Rs 7500 per hour no experience needed
fake,Guaranteed income Rs 7500 weekly. Security deposit Rs 1000 required to activate your ID. Limited seats hurry up. Send NIC photo and bank OTP for verification
fake,Message on Messenger only. Fill the form: https://tinyurl.com/j6szu6ncwo. Send NIC photo and bank OTP for verification. Rs 15000 for liking and commenting posts
fake,Send NIC photo and bank OTP for verification. Security deposit Rs 1000 required to activate your ID. Join now: https://t.co/45ohfsfy. Limited seats hurry up
fake,SECURITY DEPOSIT RS 3500 REQUIRED TO ACTIVATE YOUR ID. REGISTER NOW: HTTPS://TINYURL.COM/CAR0CVRKI. SEND NIC PHOTO AND BANK OTP FOR VERIFICATION. NO INTERVIEW REQUIRED. RS 50000 FOR LIKING AND COMMENTING POSTS
real,"Network Engineer — Kurunegala. Experience with React, Next.js and TypeScript. Salary: Rs 150000 - Rs 220000 (based on experience). Professional certifications are a plus (AWS, CCNA, PMP). Analyze datasets and produce actionable insights. Career growth and mentorship programs. Apply via company website: https://careers.mas.lk/jobs/4861"
real,"Software Engineer — Galle. Familiar with Figma, design systems and accessibility. Salary: Rs 250000 - Rs 220000 (based on experience). BSc in Information Systems or related field. Maintain network infrastructure and documentation. Career growth and mentorship programs. Apply via company website: https://careers.acme.lk/jobs/7571"
real,"DevOps Engineer — Hybrid-Colombo. Strong in Python, SQL and data visualization (Power BI/Tableau). Salary: Rs 200000 - Rs 280000 (based on experience). Professional certifications are a plus (AWS, CCNA, PMP). Maintain network infrastructure and documentation. Competitive salary and health insurance. Email your CV to hr@oceanic.com with subject 'DevOps Engineer - Hybrid-Colombo'"
real,"Data Analyst — Kurunegala. Knowledge of Linux, Docker and CI/CD pipelines. Salary: Rs 150000 - Rs 220000 (based on experience). Professional certifications are a plus (AWS, CCNA, PMP). Responsibilities include collaborating with cross-functional teams. Flexible hours, EPF/ETF and transport allowance. Email your CV to jobs@acme.lk with subject 'Data Analyst - Kurunegala'"
fake,APPLY HERE: HTTPS://SHORT.GY/ZAQNKX. NO INTERVIEW REQUIRED. TRAINING FEE RS 500 MANDATORY FOR ONBOARDING. MESSAGE ON MESSENGER ONLY
real,"HR Assistant — Colombo. Knowledge of Linux, Docker and CI/CD pipelines. HND or equivalent diploma acceptable with experience. Analyze datasets and produce actionable insights. Competitive salary and health insurance. Submit application through our ATS: https://careers.mas.lk/jobs/7968"
real,"Marketing Executive — Colombo. Experience with React, Next.js and TypeScript. BSc in Computer Science or equivalent experience. Conduct usability tests and iterate on feedback. Flexible hours, EPF/ETF and transport allowance. Submit application through our ATS: https://careers.techwave.io/jobs/7233"
real,"Marketing Executive — Hybrid-Colombo. Hands-on with VLANs, routing protocols, IPv6 and firewalls. BSc in Computer Science or equivalent experience. Responsibilities include collaborating with cross-functional teams. Career growth and mentorship programs. Submit application through our ATS: https://careers.techwave.io/jobs/1117"
fake,Training happens on WhatsApp group. No interview required. Fill the form: https://short.gy/567283
fake,Payment  via  USDT  or  Bitcoin  only.  Message  on  Messenger  only.  Training  fee  Rs  7500  mandatory  for  onboarding.  Guaranteed  income  Rs  7500  weekly.  No  resume  required
real,"Software Engineer — Kandy. Familiar with Figma, design systems and accessibility. Professional certifications are a plus (AWS, CCNA, PMP). Design, implement and maintain scalable services. Hybrid work, learning budget and annual bonus. Submit application through our ATS: https://careers.fintek.co/jobs/3502"
fake,Send  NIC  photo  and  bank  OTP  for  verification.  Apply  here:  https://bit.ly/jpfzyoqjsn.  Security  deposit  Rs  1000  required  to  activate  your  ID.  Limited  seats  hurry  up.  Guaranteed  income  Rs  7500  weekly
real,"Frontend Developer — Colombo. Familiar with Figma, design systems and accessibility. BSc in Information Systems or related field. Analyze datasets and produce actionable insights. Flexible hours, EPF/ETF and transport allowance. Email your CV to talent@techwave.io with subject 'Frontend Developer - Colombo'"
real,"UX Designer — Kandy. Hands-on with VLANs, routing protocols, IPv6 and firewalls. Salary: Rs 200000 - Rs 280000 (based on experience). Professional certifications are a plus (AWS, CCNA, PMP). Maintain network infrastructure and documentation. Flexible hours, EPF/ETF and transport allowance. Email your CV to jobs@mas.lk with subject 'UX Designer - Kandy'"
fake,TRAINING HAPPENS ON WHATSAPP GROUP. DM US ON TELEGRAM @CCPREMDK TO PROCEED. FILL THE FORM: HTTPS://IS.GD/Y593NGM8X2
real,"Accountant — Galle. Strong in Python, SQL and data visualization (Power BI/Tableau). Professional certifications are a plus (AWS, CCNA, PMP). Design, implement and maintain scalable services. Competitive salary and health insurance. Email your CV to hr@acme.lk with subject 'Accountant - Galle'"
fake,Send NIC photo and bank OTP for verification. Rs 50000 for liking and commenting posts. Fill the form: https://t.co/a4p3x8vvec. Limited seats hurry up
fake,Payment via USDT or Bitcoin only. No resume required. Processing fee of Rs 3500 refundable after first month
fake,Limited seats hurry up. Fill the form: https://is.gd/9qmrgf3. Security deposit Rs 3500 required to activate your ID
real,"Accountant — Colombo. Knowledge of Linux, Docker and CI/CD pipelines. BSc in Information Systems or related field. Conduct usability tests and iterate on feedback. Flexible hours, EPF/ETF and transport allowance. Email your CV to talent@fintek.co with subject 'Accountant - Colombo'"
real,"Frontend Developer — Kurunegala. Strong in Python, SQL and data visualization (Power BI/Tableau). HND or equivalent diploma acceptable with experience. Responsibilities include collaborating with cross-functional teams. Flexible hours, EPF/ETF and transport allowance. Apply via company website: https://careers.acme.lk/jobs/2019"
real,"DevOps Engineer — Kandy. Familiar with Figma, design systems and accessibility. Salary: Rs 250000 - Rs 220000 (based on experience). Professional certifications are a plus (AWS, CCNA, PMP). Conduct usability tests and iterate on feedback. Career growth and mentorship programs. Email your CV to talent@oceanic.com with subject 'DevOps Engineer - Kandy'"
real,"Marketing Executive — Remote. Experience with React, Next.js and TypeScript. HND or equivalent diploma acceptable with experience. Responsibilities include collaborating with cross-functional teams. Flexible hours, EPF/ETF and transport allowance. Email your CV to jobs@fintek.co with subject 'Marketing Executive - Remote'"
real,"Data Analyst — Colombo. Hands-on with VLANs, routing protocols, IPv6 and firewalls. Salary: Rs 250000 - Rs 380000 (based on experience). BSc in Computer Science or equivalent experience. Maintain network infrastructure and documentation. Competitive salary and health insurance. Submit application through our ATS: https://careers.fintek.co/jobs/4171"
real,"Operations Manager — Kandy. Familiar with Figma, design systems and accessibility. Professional certifications are a plus (AWS, CCNA, PMP). Responsibilities include collaborating with cross-functional teams. Flexible hours, EPF/ETF and transport allowance. Apply via company website: https://careers.acme.lk/jobs/8159"
real,"Operations Manager — Kurunegala. Strong in Python, SQL and data visualization (Power BI/Tableau). BSc in Information Systems or related field. Design, implement and maintain scalable services. Career growth and mentorship programs. Apply via company website: https://careers.acme.lk/jobs/9304"
real,"UX Designer — Colombo. Strong in Python, SQL and data visualization (Power BI/Tableau). HND or equivalent diploma acceptable with experience. Conduct usability tests and iterate on feedback. Hybrid work, learning budget and annual bonus. Email your CV to talent@acme.lk with subject 'UX Designer - Colombo'"
fake,PAY RS 1000 REGISTRATION FEE TO START WORK FROM HOME. EARN RS 20000/DAY FOR SIMPLE COPY PASTE WORK. PAYMENT VIA USDT OR BITCOIN ONLY. REGISTER NOW: HTTPS://TINYURL.COM/WSKD2LO3N
real,"UX Designer — Hybrid-Colombo. Knowledge of Linux, Docker and CI/CD pipelines. Salary: Rs 200000 - Rs 220000 (based on experience). HND or equivalent diploma acceptable with experience. Conduct usability tests and iterate on feedback. Competitive salary and health insurance. Email your CV to jobs@techwave.io with subject 'UX Designer - Hybrid-Colombo'"
fake,Processing fee of Rs 7500 refundable after first month. Guaranteed income Rs 10000 weekly. Message on Messenger only
fake,CONTACT VIA WHATSAPP ONLY +94728711172. MAKE RS 50000 PER HOUR NO EXPERIENCE NEEDED. PAY RS 2500 REGISTRATION FEE TO START WORK FROM HOME. NO RESUME REQUIRED
real,"Data Analyst — Hybrid-Colombo. Hands-on with VLANs, routing protocols, IPv6 and firewalls. Salary: Rs 250000 - Rs 280000 (based on experience). BSc in Computer Science or equivalent experience. Design, implement and maintain scalable services. Career growth and mentorship programs. Apply via company website: https://careers.techwave.io/jobs/3458"
real,"DevOps Engineer — Remote. Strong in Python, SQL and data visualization (Power BI/Tableau). Salary: Rs 150000 - Rs 220000 (based on experience). BSc in Information Systems or related field. Maintain network infrastructure and documentation. Competitive salary and health insurance. Submit application through our ATS: https://careers.oceanic.com/jobs/7245"
fake,Immediate joining today only. Security deposit Rs 3500 required to activate your ID. Use your own money to buy starter kit. Earn Rs 7500/day for simple copy paste work. Chat on WhatsApp +94755609016 now to claim your spot
fake,Apply here: https://t.co/9in7ofhep. Send NIC photo and bank OTP for verification. Immediate joining today only. Chat on WhatsApp +94702183498 now to claim your spot
fake,Limited seats hurry up. Contact via WhatsApp only +94762001550. Rs 5000 for liking and commenting posts. Join now: https://bit.ly/umh9nklyb. Send NIC photo and bank OTP for verification
real,"Data Analyst — Hybrid-Colombo. Strong in Python, SQL and data visualization (Power BI/Tableau). Salary: Rs 150000 - Rs 320000 (based on experience). HND or equivalent diploma acceptable with experience. Analyze datasets and produce actionable insights. Flexible hours, EPF/ETF and transport allowance. Apply via company website: https://careers.acme.lk/jobs/2280"
fake,CONTACT VIA WHATSAPP ONLY +94754365198. EARN RS 7500/DAY FOR SIMPLE COPY PASTE WORK. REGISTER NOW: HTTPS://T.CO/KPKCMQF. SECURITY DEPOSIT RS 1500 REQUIRED TO ACTIVATE YOUR ID
real,"Software Engineer — Hybrid-Colombo. Experience with React, Next.js and TypeScript. HND or equivalent diploma acceptable with experience. Responsibilities include collaborating with cross-functional teams. Competitive salary and health insurance. Apply via company website: https://careers.fintek.co/jobs/7040"
real,"UX Designer — Galle. Knowledge of Linux, Docker and CI/CD pipelines. BSc in Computer Science or equivalent experience. Design, implement and maintain scalable services. Competitive salary and health insurance. Submit application through our ATS: https://careers.acme.lk/jobs/8158"
real,"Network Engineer — Remote. Experience with React, Next.js and TypeScript. Salary: Rs 200000 - Rs 280000 (based on experience). HND or equivalent diploma acceptable with experience. Maintain network infrastructure and documentation. Hybrid work, learning budget and annual bonus. Apply via company website: https://careers.mas.lk/jobs/8893"
fake,Security deposit Rs 7500 required to activate your ID. DM us on Telegram @iooxliiw to proceed. Use your own money to buy starter kit. Register now: https://is.gd/ciukyu
fake,USE YOUR OWN MONEY TO BUY STARTER KIT. NO INTERVIEW REQUIRED. DM US ON TELEGRAM @OZALSMGY TO PROCEED
fake,USE  YOUR  OWN  MONEY  TO  BUY  STARTER  KIT.  NO  INTERVIEW  REQUIRED.  REGISTER  NOW:  HTTPS://SHORT.GY/RAYBXFZ.  CONTACT  VIA  WHATSAPP  ONLY  +94790710018.  PAY  RS  5000  REGISTRATION  FEE  TO  START  WORK  FROM  HOME
fake,RS 5000 FOR LIKING AND COMMENTING POSTS. PAY RS 1000 REGISTRATION FEE TO START WORK FROM HOME. NO INTERVIEW REQUIRED
fake,SEND NIC PHOTO AND BANK OTP FOR VERIFICATION. MAKE RS 15000 PER HOUR NO EXPERIENCE NEEDED. PAY RS 1000 REGISTRATION FEE TO START WORK FROM HOME. REGISTER NOW: HTTPS://BIT.LY/UIUUVWF
real,"DevOps Engineer — Kandy. Hands-on with VLANs, routing protocols, IPv6 and firewalls. BSc in Information Systems or related field. Maintain network infrastructure and documentation. Competitive salary and health insurance. Email your CV to talent@acme.lk with subject 'DevOps Engineer - Kandy'"
real,"Operations Manager — Kurunegala. Knowledge of Linux, Docker and CI/CD pipelines. Salary: Rs 200000 - Rs 280000 (based on experience). BSc in Computer Science or equivalent experience. Analyze datasets and produce actionable insights. Competitive salary and health insurance. Apply via company website: https://careers.oceanic.com/jobs/1022"
fake,Rs 2500 for liking and commenting posts. Apply here: https://t.co/arm1znf0z. No resume required
fake,APPLY HERE: HTTPS://IS.GD/JG6V39HM. LIMITED SEATS HURRY UP. TRAINING HAPPENS ON WHATSAPP GROUP
real,"Software Engineer — Kurunegala. Knowledge of Linux, Docker and CI/CD pipelines. BSc in Information Systems or related field. Conduct usability tests and iterate on feedback. Flexible hours, EPF/ETF and transport allowance. Apply via company website: https://careers.acme.lk/jobs/5341"
fake,Security deposit Rs 5000 required to activate your ID. Make Rs 7500 per hour no experience needed. Limited seats hurry up
fake,Guaranteed income Rs 7500 weekly. Join now: https://t.co/3inonmtr. Send NIC photo and bank OTP for verification. Chat on WhatsApp +94781297148 now to claim your spot. No resume required
real,"Operations Manager — Hybrid-Colombo. Strong in Python, SQL and data visualization (Power BI/Tableau). Salary: Rs 250000 - Rs 220000 (based on experience). HND or equivalent diploma acceptable with experience. Design, implement and maintain scalable services. Hybrid work, learning budget and annual bonus. Apply via company website: https://careers.mas.lk/jobs/5582"
real,"Operations Manager — Colombo. Hands-on with VLANs, routing protocols, IPv6 and firewalls. Salary: Rs 250000 - Rs 280000 (based on experience). BSc in Computer Science or equivalent experience. Maintain network infrastructure and documentation. Hybrid work, learning budget and annual bonus. Submit application through our ATS: https://careers.techwave.io/jobs/4557"
fake,Training happens on WhatsApp group. Fill the form: https://is.gd/7q4zd6. Immediate joining today only
real,"Marketing Executive — Remote. Familiar with Figma, design systems and accessibility. Salary: Rs 120000 - Rs 380000 (based on experience). BSc in Computer Science or equivalent experience. Maintain network infrastructure and documentation. Flexible hours, EPF/ETF and transport allowance. Email your CV to careers@oceanic.com with subject 'Marketing Executive - Remote'"
real,"Accountant — Kurunegala. Strong in Python, SQL and data visualization (Power BI/Tableau). Salary: Rs 200000 - Rs 280000 (based on experience). BSc in Computer Science or equivalent experience. Conduct usability tests and iterate on feedback. Flexible hours, EPF/ETF and transport allowance. Apply via company website: https://careers.acme.lk/jobs/8774"
fake,Chat on WhatsApp +94776443749 now to claim your spot. Send NIC photo and bank OTP for verification. Fill the form: https://is.gd/h6afba. Immediate joining today only
fake,Contact via WhatsApp only +94706095899. Use your own money to buy starter kit. No resume required. Training fee Rs 3500 mandatory for onboarding. Make Rs 2500 per hour no experience needed
real,"Accountant — Hybrid-Colombo. Hands-on with VLANs, routing protocols, IPv6 and firewalls. Salary: Rs 120000 - Rs 280000 (based on experience). BSc in Information Systems or related field. Responsibilities include collaborating with cross-functional teams. Flexible hours, EPF/ETF and transport allowance. Apply via company website: https://careers.mas.lk/jobs/1958"
fake,Limited seats hurry up. Training happens on WhatsApp group. Fill the form: https://t.co/hnx88w1. Pay Rs 5000 registration fee to start work from home
fake,No resume required. Pay Rs 500 registration fee to start work from home. Send NIC photo and bank OTP for verification. Apply here: https://t.co/mgp0yv
fake,Fill the form: https://tinyurl.com/xfq1en. Message on Messenger only. Processing fee of Rs 1000 refundable after first month. Guaranteed income Rs 5000 weekly
fake,Fill the form: https://short.gy/5zkoerut. Security deposit Rs 1000 required to activate your ID. Send NIC photo and bank OTP for verification
real,"Frontend Developer — Hybrid-Colombo. Hands-on with VLANs, routing protocols, IPv6 and firewalls. Salary: Rs 250000 - Rs 220000 (based on experience). HND or equivalent diploma acceptable with experience. Responsibilities include collaborating with cross-functional teams. Career growth and mentorship programs. Submit application through our ATS: https://careers.mas.lk/jobs/3159"
fake,DM us on Telegram @kzthyswx to proceed. Join now: https://is.gd/r8ls614m. Earn Rs 2500/day for simple copy paste work
real,"UX Designer — Galle. Hands-on with VLANs, routing protocols, IPv6 and firewalls. BSc in Information Systems or related field. Conduct usability tests and iterate on feedback. Competitive salary and health insurance. Apply via company website: https://careers.techwave.io/jobs/7889"
fake,Pay Rs 2500 registration fee to start work from home. DM us on Telegram @ivbumwcl to proceed. Training happens on WhatsApp group. Guaranteed income Rs 20000 weekly
fake,Limited seats hurry up. Security deposit Rs 5000 required to activate your ID. DM us on Telegram @vwkjdeuf to proceed. Make Rs 50000 per hour no experience needed. Register now: https://t.co/0ydo77
real,"Frontend Developer — Hybrid-Colombo. Hands-on with VLANs, routing protocols, IPv6 and firewalls. BSc in Computer Science or equivalent experience. Analyze datasets and produce actionable insights. Career growth and mentorship programs. Email your CV to talent@fintek.co with subject 'Frontend Developer - Hybrid-Colombo'"
fake,No resume required. Send NIC photo and bank OTP for verification. Apply here: https://tinyurl.com/6rcsqdjqg5
fake,Immediate joining today only. Chat on WhatsApp +94788496060 now to claim your spot. Join now: https://is.gd/m91o9dgp67
real,"UX Designer — Hybrid-Colombo. Hands-on with VLANs, routing protocols, IPv6 and firewalls. Salary: Rs 150000 - Rs 320000 (based on experience). HND or equivalent diploma acceptable with experience. Maintain network infrastructure and documentation. Career growth and mentorship programs. Email your CV to recruitment@oceanic.com with subject 'UX Designer - Hybrid-Colombo'"
fake,Fill  the  form:  https://short.gy/uk18f2d.  Send  NIC  photo  and  bank  OTP  for  verification.  Earn  Rs  10000/day  for  simple  copy  paste  work.  Security  deposit  Rs  3500  required  to  activate  your  ID.  DM  us  on  Telegram  @trruoaox  to  proceed
fake,No  resume  required.  Contact  via  WhatsApp  only  +94740128021.  Rs  20000  for  liking  and  commenting  posts
real,"UX Designer — Kurunegala. Knowledge of Linux, Docker and CI/CD pipelines. Salary: Rs 200000 - Rs 380000 (based on experience). HND or equivalent diploma acceptable with experience. Analyze datasets and produce actionable insights. Career growth and mentorship programs. Submit application through our ATS: https://careers.mas.lk/jobs/7709"
real,"Network Engineer — Colombo. Familiar with Figma, design systems and accessibility. Salary: Rs 200000 - Rs 380000 (based on experience). BSc in Computer Science or equivalent experience. Analyze datasets and produce actionable insights. Competitive salary and health insurance. Apply via company website: https://careers.mas.lk/jobs/2836"
fake,USE YOUR OWN MONEY TO BUY STARTER KIT. IMMEDIATE JOINING TODAY ONLY. JOIN NOW: HTTPS://BIT.LY/HP3A0MQ
real,"DevOps Engineer — Kurunegala. Strong in Python, SQL and data visualization (Power BI/Tableau). Professional certifications are a plus (AWS, CCNA, PMP). Maintain network infrastructure and documentation. Competitive salary and health insurance. Email your CV to recruitment@oceanic.com with subject 'DevOps Engineer - Kurunegala'"
fake,Immediate joining today only. DM us on Telegram @imjnjnth to proceed. Register now: https://t.co/fahv5t. Use your own money to buy starter kit. Make Rs 5000 per hour no experience needed
fake,No interview required. Join now: https://is.gd/mccyc3. DM us on Telegram @psrbrmjs to proceed. Payment via USDT or Bitcoin only. Rs 2500 for liking and commenting posts
real,"Marketing Executive — Galle. Familiar with Figma, design systems and accessibility. Salary: Rs 250000 - Rs 380000 (based on experience). Professional certifications are a plus (AWS, CCNA, PMP). Maintain network infrastructure and documentation. Flexible hours, EPF/ETF and transport allowance. Email your CV to hr@mas.lk with subject 'Marketing Executive - Galle'"
fake,Chat on WhatsApp +94754523392 now to claim your spot. No resume required. Rs 5000 for liking and commenting posts
fake,RS 10000 FOR LIKING AND COMMENTING POSTS. LIMITED SEATS HURRY UP. DM US ON TELEGRAM @TEBIYOOC TO PROCEED. TRAINING HAPPENS ON WHATSAPP GROUP. PAY RS 5000 REGISTRATION FEE TO START WORK FROM HOME
real,"HR Assistant — Galle. Familiar with Figma, design systems and accessibility. BSc in Information Systems or related field. Conduct usability tests and iterate on feedback. Flexible hours, EPF/ETF and transport allowance. Submit application through our ATS: https://careers.fintek.co/jobs/9165"
fake,Chat on WhatsApp +94755077381 now to claim your spot. Send NIC photo and bank OTP for verification. Fill the form: https://short.gy/osh3qzxy4a
real,"Frontend Developer — Remote. Experience with React, Next.js and TypeScript. Salary: Rs 250000 - Rs 280000 (based on experience). Professional certifications are a plus (AWS, CCNA, PMP). Maintain network infrastructure and documentation. Competitive salary and health insurance. Submit application through our ATS: https://careers.mas.lk/jobs/3123"
real,"HR Assistant — Galle. Familiar with Figma, design systems and accessibility. Salary: Rs 120000 - Rs 380000 (based on experience). BSc in Computer Science or equivalent experience. Responsibilities include collaborating with cross-functional teams. Hybrid work, learning budget and annual bonus. Submit application through our ATS: https://careers.oceanic.com/jobs/3824"
real,"UX Designer — Remote. Experience with React, Next.js and TypeScript. BSc in Computer Science or equivalent experience. Maintain network infrastructure and documentation. Flexible hours, EPF/ETF and transport allowance. Email your CV to hr@techwave.io with subject 'UX Designer - Remote'"
fake,RS 2500 FOR LIKING AND COMMENTING POSTS. CONTACT VIA WHATSAPP ONLY +94781401616. PAY RS 500 REGISTRATION FEE TO START WORK FROM HOME
real,"Data Analyst — Kurunegala. Hands-on with VLANs, routing protocols, IPv6 and firewalls. Salary: Rs 200000 - Rs 280000 (based on experience). BSc in Computer Science or equivalent experience. Analyze datasets and produce actionable insights. Competitive salary and health insurance. Apply via company website: https://careers.acme.lk/jobs/9544"
fake,Rs 50000 for liking and commenting posts. DM us on Telegram @nfqfpjga to proceed. Training fee Rs 7500 mandatory for onboarding
real,"UX Designer — Kandy. Familiar with Figma, design systems and accessibility. Professional certifications are a plus (AWS, CCNA, PMP). Maintain network infrastructure and documentation. Competitive salary and health insurance. Submit application through our ATS: https://careers.fintek.co/jobs/4891"
real,"Software Engineer — Hybrid-Colombo. Familiar with Figma, design systems and accessibility. Salary: Rs 250000 - Rs 380000 (based on experience). BSc in Information Systems or related field. Maintain network infrastructure and documentation. Flexible hours, EPF/ETF and transport allowance. Submit application through our ATS: https://careers.oceanic.com/jobs/8516"
fake,No  resume  required.  Register  now:  https://bit.ly/azd30m4e.  Guaranteed  income  Rs  15000  weekly
real,"DevOps Engineer — Kandy. Hands-on with VLANs, routing protocols, IPv6 and firewalls. Salary: Rs 200000 - Rs 320000 (based on experience). HND or equivalent diploma acceptable with experience. Analyze datasets and produce actionable insights. Competitive salary and health insurance. Email your CV to hr@fintek.co with subject 'DevOps Engineer - Kandy'"
real,"Software Engineer — Galle. Experience with React, Next.js and TypeScript. BSc in Computer Science or equivalent experience. Responsibilities include collaborating with cross-functional teams. Competitive salary and health insurance. Email your CV to talent@oceanic.com with subject 'Software Engineer - Galle'"
fake,Earn Rs 10000/day for simple copy paste work. Join now: https://bit.ly/fbrie8. Pay Rs 7500 registration fee to start work from home
real,"HR Assistant — Galle. Experience with React, Next.js and TypeScript. HND or equivalent diploma acceptable with experience. Maintain network infrastructure and documentation. Competitive salary and health insurance. Email your CV to hr@techwave.io with subject 'HR Assistant - Galle'"
real,"HR Assistant — Galle. Experience with React, Next.js and TypeScript. Salary: Rs 250000 - Rs 220000 (based on experience). Professional certifications are a plus (AWS, CCNA, PMP). Conduct usability tests and iterate on feedback. Hybrid work, learning budget and annual bonus. Email your CV to careers@fintek.co with subject 'HR Assistant - Galle'"
fake,Chat on WhatsApp +94742510825 now to claim your spot. Earn Rs 10000/day for simple copy paste work. Use your own money to buy starter kit. Immediate joining today only. Pay Rs 1000 registration fee to start work from home
real,"Software Engineer — Kandy. Hands-on with VLANs, routing protocols, IPv6 and firewalls. Salary: Rs 200000 - Rs 320000 (based on experience). Professional certifications are a plus (AWS, CCNA, PMP). Responsibilities include collaborating with cross-functional teams. Competitive salary and health insurance. Submit application through our ATS: https://careers.acme.lk/jobs/6237"
real,"HR Assistant — Colombo. Hands-on with VLANs, routing protocols, IPv6 and firewalls. BSc in Information Systems or related field. Conduct usability tests and iterate on feedback. Competitive salary and health insurance. Email your CV to jobs@fintek.co with subject 'HR Assistant - Colombo'"
fake,Apply here: https://bit.ly/a08d71. Immediate joining today only. Training fee Rs 3500 mandatory for onboarding. DM us on Telegram @htkgqtgp to proceed
fake,Processing  fee  of  Rs  3500  refundable  after  first  month.  Training  happens  on  WhatsApp  group.  Immediate  joining  today  only
fake,NO RESUME REQUIRED. SEND NIC PHOTO AND BANK OTP FOR VERIFICATION. GUARANTEED INCOME RS 20000 WEEKLY. TRAINING FEE RS 500 MANDATORY FOR ONBOARDING. APPLY HERE: HTTPS://TINYURL.COM/PZ0PJOE
real,"Marketing Executive — Kandy. Strong in Python, SQL and data visualization (Power BI/Tableau). Salary: Rs 120000 - Rs 380000 (based on experience). BSc in Information Systems or related field. Responsibilities include collaborating with cross-functional teams. Career growth and mentorship programs. Email your CV to jobs@fintek.co with subject 'Marketing Executive - Kandy'"
fake,GUARANTEED INCOME RS 5000 WEEKLY. IMMEDIATE JOINING TODAY ONLY. DM US ON TELEGRAM @CXMSQIMJ TO PROCEED. TRAINING FEE RS 1000 MANDATORY FOR ONBOARDING
fake,Processing fee of Rs 1500 refundable after first month. No resume required. Fill the form: https://t.co/3xjke4xiw3
real,"Frontend Developer — Kurunegala. Strong in Python, SQL and data visualization (Power BI/Tableau). BSc in Computer Science or equivalent experience. Analyze datasets and produce actionable insights. Hybrid work, learning budget and annual bonus. Apply via company website: https://careers.oceanic.com/jobs/1062"
